neg,neu,pos,compound
0.398,0.602,0.0,-0.6808
0.119,0.881,0.0,-0.3182
0.136,0.864,0.0,-0.5267
0.263,0.653,0.084,-0.81
0.0,1.0,0.0,0.0
0.224,0.776,0.0,-0.3818
0.314,0.686,0.0,-0.7506
0.0,1.0,0.0,0.0
0.079,0.863,0.058,-0.2247
0.573,0.427,0.0,-0.7717
0.0,1.0,0.0,0.0
0.181,0.731,0.088,-0.5267
0.083,0.759,0.157,0.6124
0.115,0.723,0.162,0.2263
0.0,0.947,0.053,0.0772
0.0,1.0,0.0,0.0
0.0,0.68,0.32,0.9192
0.038,0.89,0.072,0.3818
0.0,0.92,0.08,0.4939
0.058,0.807,0.135,0.4019
0.0,1.0,0.0,0.0
0.0,0.884,0.116,0.6077
0.167,0.833,0.0,-0.5574
0.108,0.823,0.07,-0.0516
0.0,0.948,0.052,0.2732
0.0,1.0,0.0,0.0
0.115,0.885,0.0,-0.0772
0.097,0.829,0.073,-0.25
0.0,0.925,0.075,0.296
0.0,0.958,0.042,0.2382
0.379,0.476,0.144,-0.936
0.126,0.874,0.0,-0.3182
0.0,1.0,0.0,0.0
0.125,0.803,0.072,-0.5346
0.154,0.605,0.24,0.5267
0.0,1.0,0.0,0.0
0.0,0.756,0.244,0.7003
0.0,0.598,0.402,0.9086
0.196,0.804,0.0,-0.296
0.155,0.845,0.0,-0.5106
0.231,0.706,0.063,-0.7707
0.067,0.776,0.157,0.6351
0.054,0.843,0.103,0.2617
0.151,0.798,0.05,-0.5859
0.109,0.842,0.048,-0.4404
0.0,1.0,0.0,0.0
0.124,0.789,0.086,-0.2634
0.0,1.0,0.0,0.0
0.181,0.725,0.094,-0.4404
0.113,0.653,0.234,0.7269
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.9,0.1,0.25
0.199,0.749,0.051,-0.7845
0.0,1.0,0.0,0.0
0.123,0.728,0.149,-0.296
0.059,0.62,0.321,0.8932
0.0,0.787,0.213,0.4019
0.0,1.0,0.0,0.0
0.0,0.633,0.367,0.4404
0.167,0.833,0.0,-0.296
0.0,0.95,0.05,0.3818
0.0,0.743,0.257,0.9349
0.161,0.709,0.129,-0.4215
0.081,0.919,0.0,-0.296
0.167,0.833,0.0,-0.4588
0.0,1.0,0.0,0.0
0.181,0.819,0.0,-0.4767
0.297,0.616,0.087,-0.936
0.188,0.812,0.0,-0.8591
0.0,0.891,0.109,0.4215
0.163,0.72,0.117,-0.296
0.093,0.835,0.072,-0.2263
0.0,0.763,0.237,0.4215
0.162,0.838,0.0,-0.7003
0.08,0.746,0.174,0.6759
0.133,0.867,0.0,-0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.162,0.838,0.0,-0.4019
0.0,0.914,0.086,0.5267
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.903,0.097,0.4019
0.0,1.0,0.0,0.0
0.0,0.941,0.059,0.3382
0.0,1.0,0.0,0.0
0.097,0.812,0.091,-0.0516
0.127,0.674,0.199,0.5859
0.0,1.0,0.0,0.0
0.0,0.866,0.134,0.4767
